"","DOI","Title","Authors","Author_Affiliations","Correspondence_Author","Correspondence_Author_Email","Publication_Date","Keywords","Abstract","Full_Text"
"1","10.1093/dnares/2.1.1","Cloning and Identification of the hemG Gene Encoding Protoporphyrinogen Oxidase (PPO) of Escherichia coli K-12","Koichi Nishimura,Toru Nakayashiki,Hachiro Inokuchi","NO","NO","NO","01 February 1995","Escherichia coli, photoresistant revertant, heme biosynthesis, hemG, protoporphyrinogen oxidase"," Cells of the VSR751 strain, which was previously isolated as a photoresistant revertant of the visA -deleted ( hemH -deleted) strain of Escherichia coli K-12, accumulated uroporphyrin (uro), coproporphyrin (copro) and protoporphyrin IX (proto), but did not accumulate as much protoporphyrin as cells of the parental strain ( hemH -deleted). Therefore, we concluded that strain VSR751 must be defective in protoporphyrinogen oxidase (PPO), the product of the hemG gene. By complementation analysis using VSR751, we isolated and identified this gene. The hemG gene is located at 86 mim on the E. coli chromosome, just upstream of the rrnA operon, and is transcribed clockwise in the same direction as the rrnA operon. This gene encodes a 181-amino acid protein with a calculated molecular mass of about 21 kDa. Sequence analysis revealed the presence of flavodoxin motif, suggesting that a cofactor of this enzyme is flavin mononucleotide, which is consistent with the previous report that the mammalian PPO had the flavin cofactor. "," Cells of the VSR751 strain, which was previously isolated as a photoresistant revertant of the visA -deleted ( hemH -deleted) strain of Escherichia coli K-12, accumulated uroporphyrin (uro), coproporphyrin (copro) and protoporphyrin IX (proto), but did not accumulate as much protoporphyrin as cells of the parental strain ( hemH -deleted). Therefore, we concluded that strain VSR751 must be defective in protoporphyrinogen oxidase (PPO), the product of the hemG gene. By complementation analysis using VSR751, we isolated and identified this gene. The hemG gene is located at 86 mim on the E. coli chromosome, just upstream of the rrnA operon, and is transcribed clockwise in the same direction as the rrnA operon. This gene encodes a 181-amino acid protein with a calculated molecular mass of about 21 kDa. Sequence analysis revealed the presence of flavodoxin motif, suggesting that a cofactor of this enzyme is flavin mononucleotide, which is consistent with the previous report that the mammalian PPO had the flavin cofactor. "
"2","10.1093/dnares/2.1.9","In Vitro Processing of Heteroduplex Loops and Mismatches by Endonuclease VII","Karin Birkenkamp,Böorries Kemper","NO","NO","NO","01 February 1995","mismatch, DNA repair, synthetic oligonucleotides, hybrid DNA, phage T4"," Endonuclease VII is a Holliday-structure resolving enzyme of phage T4 which cleaves at junctions of branched DNAs and at mispairings. In extension of these findings we report the following: i) Endonuclease VII can discriminate between a large heteroduplex loop and a TT mismatch arranged in tandem, 6 nt distant from each other, in the same heteroduplex molecule. The enzyme cleaves two nucleotides 3' from the base of the loop or the TT mismatch. ii) Similar to its reactions with mismatches cleavage of heteroduplex loops by endonucleave VII can also initiate correction of perfect double-strandedness by T4 DNA polymerase and T4 DNA-ligase in vitro . Loops of 8 nt and 20 nt were repaired efficiently. iii) For the first time endonuclease VII cleavage sites were also mapped in single-stranded DNA if it was part of the 20-nt loop. This suggests that looping of single-stranded DNA can induce formation of secondary structures, which are recognizable by endonuclease VII. "," Endonuclease VII is a Holliday-structure resolving enzyme of phage T4 which cleaves at junctions of branched DNAs and at mispairings. In extension of these findings we report the following: i) Endonuclease VII can discriminate between a large heteroduplex loop and a TT mismatch arranged in tandem, 6 nt distant from each other, in the same heteroduplex molecule. The enzyme cleaves two nucleotides 3' from the base of the loop or the TT mismatch. ii) Similar to its reactions with mismatches cleavage of heteroduplex loops by endonucleave VII can also initiate correction of perfect double-strandedness by T4 DNA polymerase and T4 DNA-ligase in vitro . Loops of 8 nt and 20 nt were repaired efficiently. iii) For the first time endonuclease VII cleavage sites were also mapped in single-stranded DNA if it was part of the 20-nt loop. This suggests that looping of single-stranded DNA can induce formation of secondary structures, which are recognizable by endonuclease VII. "
"3","10.1093/dnares/2.1.15","Cloning and Sequencing of Sulfite Reductase a Subunit Gene from Saccharomyces cerevisiae","S. M. Hosseini-Mazinani,Naoki Koshikawa,Kazunori Sugimoto,Yuhko Aoki,Mikio Arisawa","NO","NO","NO","01 February 1995","Saccharomyces cerevisiae, sulfite reductase a subunit, MET10 gene, nucleotide sequence"," A DNA fragment of 2.1 kb was specifically amplified by PCR with primers based on the amino acid sequences obtained from the N-terminal region and the cyanogen bromide-derived peptide of the sulfite reductase a subunit in Saccharomyces cerevisiae . With this fragment as a probe, the gene coding for the sulfite reductase a subunit was isolated froma genomic library of S. cerevisiae . Sequencing analysis revealed that the gene contains a 3105-bp open reading frame, which is large enough to code for a protein of 1035 amino acid residues. The transcript of the sulfite reductase a subunit gene was detected by Northern analysis after methionine deprevation, but the amount of the transcript did not directly correlate with the enzyme activity. The DNA fragment containing the sulfite reductase a subunit gene rescued the met10 phenotype by complementation. "," A DNA fragment of 2.1 kb was specifically amplified by PCR with primers based on the amino acid sequences obtained from the N-terminal region and the cyanogen bromide-derived peptide of the sulfite reductase a subunit in Saccharomyces cerevisiae . With this fragment as a probe, the gene coding for the sulfite reductase a subunit was isolated froma genomic library of S. cerevisiae . Sequencing analysis revealed that the gene contains a 3105-bp open reading frame, which is large enough to code for a protein of 1035 amino acid residues. The transcript of the sulfite reductase a subunit gene was detected by Northern analysis after methionine deprevation, but the amount of the transcript did not directly correlate with the enzyme activity. The DNA fragment containing the sulfite reductase a subunit gene rescued the met10 phenotype by complementation. "
"4","10.1093/dnares/2.1.21","cDNA Sequences of Three Kinds of ß-tubulins from Rice","Yasunori Koga-Ban,Tomoya Niki,Yoshiaki Nagamura,Takuji Sasaki,Yuzo Minobe","NO","NO","NO","01 February 1995","Oryza sativa, rhizoxin sensitivity, seedling blight disease, gene family, RFLP mapping"," Complete nucleotide sequences of three kinds of rice ß-tubulin cDNA clones (pTUB22, R1623 and R2242) were determined. Southern hybridization indicated that these ß-tubulins consist of one gene family. Using RFLP mapping, these three ß-tubulin cDNAs were mapped to different chromosomes indicating at least three loci for the ß-tubulin gene. The deduced amino acid sequences of these cDNAs showed a high similarity to other plant ß-tubulins. The asparagine residue located at the 100th amino acid from the Nterminus of plant ß-tubulins was also conserved with these three ß-tubulins. This asparagine is thought to be responsible for the sensitivity against rhizoxin, the toxin of the pathogen of rice seedling blight, Rhizopus sp. a soil-borne microorganism. Expression of the three ß-tubulin genes was analyzed by Northern blotting and all three clones were expressed in root, the possible target tissue of rhizoxin. These results suggest that these clones are candidates of ß-tubulins targeted by rhizoxin. "," Complete nucleotide sequences of three kinds of rice ß-tubulin cDNA clones (pTUB22, R1623 and R2242) were determined. Southern hybridization indicated that these ß-tubulins consist of one gene family. Using RFLP mapping, these three ß-tubulin cDNAs were mapped to different chromosomes indicating at least three loci for the ß-tubulin gene. The deduced amino acid sequences of these cDNAs showed a high similarity to other plant ß-tubulins. The asparagine residue located at the 100th amino acid from the Nterminus of plant ß-tubulins was also conserved with these three ß-tubulins. This asparagine is thought to be responsible for the sensitivity against rhizoxin, the toxin of the pathogen of rice seedling blight, Rhizopus sp. a soil-borne microorganism. Expression of the three ß-tubulin genes was analyzed by Northern blotting and all three clones were expressed in root, the possible target tissue of rhizoxin. These results suggest that these clones are candidates of ß-tubulins targeted by rhizoxin. "
"5","10.1093/dnares/2.1.27","Comparative Analysis of Mouse Not I Linking Clones with Mouse and Human Genomic Sequences and Transcripts","Christoph Plass,Jun Kawai,Iveta Kalcheva,Leslie Davis,Sachihiko Watanabe,Yoshihide Hayashizaki,Verne Chapman","NO","NO","NO","01 February 1995","Not I linking clone , mouse, comparative mouse/human mapping","Not I cleavage sites are frequently associated with CpG islands that identify the 5' regulatory sites of functional genes in the genome. Therefore we analyzeda sample of 22 Not I linking clones prepared from mouse brain DNA, to determine whether these mouse Not I site associatedclones could be usedfor comparative analysis of mouse andh uman genomes by cross-reaction with both mouse and human genomic DNA andRNA in Southern andNorthern hybridization. We further examined whether we couldestablish the identity of these clones with known genes by comparing the nucleotide sequences surrounding the Not I site with the GenBank database. We observed that 70% of the clones cross-hybridized with human DNA and that 4 of 11 testedclones (36%) detecteda transcript in human HeLa cells RNA whereas 73% clones (8/11) detected transcripts in mouse RNAs from one or more organs. Single pass sequence analysis was successful on 16 of 19 clones. The GC content in these sequences was very high (48.8% to 73.8%) suggesting that 12 of 16 sequencedclones contained a CpG island. Three out of 19 clones showed significant similarity with previously analyzedmouse gene sequences in GenBank, including the mouse rRNA gene family, cathepsin and the scip POU-domain genes. In addition, two sequences showed significant similarity to the human andrabbit protein phosphatase 2A-ß subunit andthe human transforming growth factor-ß. Thus, 5 of 16 clones showed homology with identified genes. These results and the recent work of using RLGS methods for genetic mapping indicate that Not I linking clones can be usedto efficiently cross reference a comparative analysis of the mouse andh uman genomic maps. ","Not I cleavage sites are frequently associated with CpG islands that identify the 5' regulatory sites of functional genes in the genome. Therefore we analyzeda sample of 22 Not I linking clones prepared from mouse brain DNA, to determine whether these mouse Not I site associatedclones could be usedfor comparative analysis of mouse andh uman genomes by cross-reaction with both mouse and human genomic DNA andRNA in Southern andNorthern hybridization. We further examined whether we couldestablish the identity of these clones with known genes by comparing the nucleotide sequences surrounding the Not I site with the GenBank database. We observed that 70% of the clones cross-hybridized with human DNA and that 4 of 11 testedclones (36%) detecteda transcript in human HeLa cells RNA whereas 73% clones (8/11) detected transcripts in mouse RNAs from one or more organs. Single pass sequence analysis was successful on 16 of 19 clones. The GC content in these sequences was very high (48.8% to 73.8%) suggesting that 12 of 16 sequencedclones contained a CpG island. Three out of 19 clones showed significant similarity with previously analyzedmouse gene sequences in GenBank, including the mouse rRNA gene family, cathepsin and the scip POU-domain genes. In addition, two sequences showed significant similarity to the human andrabbit protein phosphatase 2A-ß subunit andthe human transforming growth factor-ß. Thus, 5 of 16 clones showed homology with identified genes. These results and the recent work of using RLGS methods for genetic mapping indicate that Not I linking clones can be usedto efficiently cross reference a comparative analysis of the mouse andh uman genomic maps. "
"6","10.1093/dnares/2.1.37","Prediction of the Coding Sequences of Unidentified Human Genes. III. The Coding Sequences of 40 New Genes (KIAA0081-KIAA0120) Deduced by Analysis of cDNA Clones from Human Cell Line KG-1","Takahiro Nagase,Nobuyuki Miyajima,Ayako Tanaka,Takashi Sazuka,Naohiko Seki,Shusei Sato,Satoshi Tabata,Ken-ichi Ishikawa,Yutaka Kawarabayasi,Hirokazu Kotani,Nobuo Nomura","NO","NO","NO","01 February 1995","full-length cDNA sequence, unidentified human gene, protein motify, mRNA expression, chromosomal location, myeloid cell line KG-1","We isolated full-length cDNA clones from size-fractionated cDNA libraries of human immature myeloid cell line KG-1, and the coding sequences of 40 genes were newly predicted. A computer search of the GenBank/EMBL databases indicated that the sequences of 14 genes were unrelated to any reported genes, while the remaining 26 genes carried some sequences with similarities to known genes. Significant transmembrane domains were identified in 17 genes, and protein motifs that matched those in the PROSITE motif database were identified in 11 genes. Northern hybridization analysis with 18 different cells and tissues demonstrated that 10 genes were apparently expressed in a cell-specific or tissue-specific manner. Among the genes predicted, half were isolated from the medium-sized cDNA library and the other half from the small-sized cDNA library, and their average sizes were 4 kb and 1.4 kb, respectively. As judged by Northern hybridization profiles, small-sized cDNAs appeared to be expressed more ubiquitously and abundantly in various tissues, compared with that of medium-sized cDNAs.","We isolated full-length cDNA clones from size-fractionated cDNA libraries of human immature myeloid cell line KG-1, and the coding sequences of 40 genes were newly predicted. A computer search of the GenBank/EMBL databases indicated that the sequences of 14 genes were unrelated to any reported genes, while the remaining 26 genes carried some sequences with similarities to known genes. Significant transmembrane domains were identified in 17 genes, and protein motifs that matched those in the PROSITE motif database were identified in 11 genes. Northern hybridization analysis with 18 different cells and tissues demonstrated that 10 genes were apparently expressed in a cell-specific or tissue-specific manner. Among the genes predicted, half were isolated from the medium-sized cDNA library and the other half from the small-sized cDNA library, and their average sizes were 4 kb and 1.4 kb, respectively. As judged by Northern hybridization profiles, small-sized cDNAs appeared to be expressed more ubiquitously and abundantly in various tissues, compared with that of medium-sized cDNAs."
"7","10.1093/dnares/2.1.45","Cloning and Characterization of Rat Cellular Nucleic Acid Binding Protein (CNBP) cDNA","Jun Yasuda,Shoji Mashiyama,Reiko Makino,Shigekazu Ohyama,Takao Sekiya,Kenshi Hayashi","NO","NO","NO","01 February 1995","CCHC box, zinc finger, GST-CNBP fusion protein, RNA binding"," We cloned and sequenced the cDNAs which code for rat cellular nucleic acid binding protein (CNBP). In-frame insertion/deletion differences were found among the clones at two sites in the open reading frame, suggesting alternative splicing of the message or the presence of multiple genes which code for this protein. The deduced amino acid sequence revealed that one rat CNBP sequence was completely identical to its human counterpart. This striking conservation, together with the fact that homologous genes have been found in various organisms including Schizosaccharomyces pombe , suggests that CNBP plays a basic biological role in eukaryotic cells. The recombinant GST-CNBP fusion protein produced in Escherichia coli bound to a G-rich single-stranded RNA and DNA in a sequence-specific manner. "," We cloned and sequenced the cDNAs which code for rat cellular nucleic acid binding protein (CNBP). In-frame insertion/deletion differences were found among the clones at two sites in the open reading frame, suggesting alternative splicing of the message or the presence of multiple genes which code for this protein. The deduced amino acid sequence revealed that one rat CNBP sequence was completely identical to its human counterpart. This striking conservation, together with the fact that homologous genes have been found in various organisms including Schizosaccharomyces pombe , suggests that CNBP plays a basic biological role in eukaryotic cells. The recombinant GST-CNBP fusion protein produced in Escherichia coli bound to a G-rich single-stranded RNA and DNA in a sequence-specific manner. "
"8","10.1093/dnares/2.1.51","Prediction of the Coding Sequences of Unidentified Human Genes. III. The Coding Sequences of 40 New Genes (KIAA0081-KIAA0120) Deduced by Analysis of cDNA Clones from Human Cell Line KG-1 (Supplement)","Takahiro Nagase,Nobuyuki Miyajima,Ayako Tanaka,Takashi Sazuka,Naohiko Seki,Shusei Sato,Satoshi Tabata,Ken-ichi Ishikawa,Yutaka Kawarabayasi,Hirokazu Kotani,Nobuo Nomura","NO","NO","NO","01 February 1995","NO","NO",""
"9","10.1093/dnares/2.2.61","Cloning and Sequencing of a 36-kb Region of the Bacillus subtilis Genome between the gnt and iol Operons","Ken-ichi Yoshida,Shin Seki,Miyuki Fujimura,Yasuhiko Miwa,Yasutaro Fujita","NO","NO","NO","01 April 1995","Bacillus subtilis, genomic sequencing, gnt operon, iol operon"," Within the framework of an international project for the sequencing of the entire Bacillus subtilis genome, a 36-kb chromosome segment, which covers the region between the gnt and iol operons, has been cloned and sequenced. This region (36447 bp) contains 33 complete open reading frames (ORFs; genes) including the four gnt genes and one partial gene. A homology search for the products of the 33 complete ORFs revealed significant homology to known proteins in 16 of them such as tetracycline resistance protein ( Clostridium perfringens ), asparagine synthetase ( Arabidopsis thaliana ), aldehyde dehydrogenase ( Pseudomonas oleovorans ), 2,5-dichloro-2,5-cyclohexadiene-1,4-diol dehydrogenase ( P. paucimobilis ), heat shock protein HtpG ( Escherichia coli ), galactose-proton symporter ( E. coli ), auxin-induced protein (common tobacco), glucitol operon repressor ( E. coli ) and methylmalonate-semialdehyde dehydrogenase ( P. aeruginosa ). Unlike the regions we sequenced so far, this region contained two short sequence multiplications: one was a tandem sequence duplication (409 and 410 bp), and the other a triplication consisting of two highly conserved 118-bp tandem sequences preceded by a less conserved similar sequence (129 bp). The reasons for the presence of these sequence multiplications in the gnt to iol region were deduced. "," Within the framework of an international project for the sequencing of the entire Bacillus subtilis genome, a 36-kb chromosome segment, which covers the region between the gnt and iol operons, has been cloned and sequenced. This region (36447 bp) contains 33 complete open reading frames (ORFs; genes) including the four gnt genes and one partial gene. A homology search for the products of the 33 complete ORFs revealed significant homology to known proteins in 16 of them such as tetracycline resistance protein ( Clostridium perfringens ), asparagine synthetase ( Arabidopsis thaliana ), aldehyde dehydrogenase ( Pseudomonas oleovorans ), 2,5-dichloro-2,5-cyclohexadiene-1,4-diol dehydrogenase ( P. paucimobilis ), heat shock protein HtpG ( Escherichia coli ), galactose-proton symporter ( E. coli ), auxin-induced protein (common tobacco), glucitol operon repressor ( E. coli ) and methylmalonate-semialdehyde dehydrogenase ( P. aeruginosa ). Unlike the regions we sequenced so far, this region contained two short sequence multiplications: one was a tandem sequence duplication (409 and 410 bp), and the other a triplication consisting of two highly conserved 118-bp tandem sequences preceded by a less conserved similar sequence (129 bp). The reasons for the presence of these sequence multiplications in the gnt to iol region were deduced. "
"10","10.1093/dnares/2.2.71","Genes Encoding the Group I Intron-containing tRNA Leu and Subunit L of NADH Dehydrogenase from the Cyanobacterium Synechococcus PCC 6301","Mamoru Sugita,Lijun Luo,Masaru Ohta,Hiraku Itadani,Tohru Matsubayashi,Masahiro Sugiura","NO","NO","NO","01 April 1995","Synechococcus PCC 6301, group I intron, tRNA, self-splicing, ndhL"," A part of the tRNA Leu (UAA) gene containing a 240-nucleotide group I intron was amplified by PCR from cyanobacterium Synechococcus PCC 6301 genomic DNA. The pre-tRNA synthesized from the cloned PCR product was efficiently self-spliced in vitro under physiological conditions. The gene encoding the tRNA Leu (UAA), trnL-UAA , was isolated from a Synechococcus PCC 6301 genomic library and the nucleotide sequence of a 2,167-bp portion was determined. The trnL-UAA consists of a 34-bp 5' exon, a 240-bp group I intron and a 50-bp 3' exon. In addition, three open reading frames (ORF1, ORF2 and ORF3) were found in the 5' and 3' flanking regions of trnL-UAA . The predicted protein sequence of ORF3, which is located 74-bp upstream from trnL-UAA on the opposite strand, shows 66.2% amino acid identity to that of the Synechocystis PCC 6803 gene encoding subunit L of NADH dehydrogenase ( ndhL ). "," A part of the tRNA Leu (UAA) gene containing a 240-nucleotide group I intron was amplified by PCR from cyanobacterium Synechococcus PCC 6301 genomic DNA. The pre-tRNA synthesized from the cloned PCR product was efficiently self-spliced in vitro under physiological conditions. The gene encoding the tRNA Leu (UAA), trnL-UAA , was isolated from a Synechococcus PCC 6301 genomic library and the nucleotide sequence of a 2,167-bp portion was determined. The trnL-UAA consists of a 34-bp 5' exon, a 240-bp group I intron and a 50-bp 3' exon. In addition, three open reading frames (ORF1, ORF2 and ORF3) were found in the 5' and 3' flanking regions of trnL-UAA . The predicted protein sequence of ORF3, which is located 74-bp upstream from trnL-UAA on the opposite strand, shows 66.2% amino acid identity to that of the Synechocystis PCC 6803 gene encoding subunit L of NADH dehydrogenase ( ndhL ). "
